City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,Ahipara,-35.1667,173.1667,68.16,77,97,7.07,NZ,2021-12-21 19:33:32
143,Horsham,51.064,-0.3272,38.5,87,0,3.44,GB,2021-12-21 19:33:33
144,Aklavik,68.2191,-135.0107,11.12,85,90,12.66,CA,2021-12-21 19:33:33
145,Asau,46.4333,26.4,20.95,89,82,2.17,RO,2021-12-21 19:33:33
146,Wakefield,53.6809,-1.499,38.71,72,80,3.67,GB,2021-12-21 19:33:34
147,Banda Aceh,5.5577,95.3222,76.03,84,47,4.34,ID,2021-12-21 19:33:34
148,Ribeira Grande,38.5167,-28.7,63.0,77,75,19.57,PT,2021-12-21 19:33:35
149,Anadyr,64.75,177.4833,-14.3,64,0,13.42,RU,2021-12-21 19:33:35
150,Okakarara,-20.5833,17.4333,70.92,62,71,8.61,NA,2021-12-21 19:33:36
151,Pemba,-12.974,40.5178,83.1,83,40,5.75,MZ,2021-12-21 19:33:36
152,Kautokeino,69.0125,23.0412,-11.33,100,100,1.95,NO,2021-12-21 19:33:37
153,Port Lincoln,-34.7333,135.8667,60.91,78,78,11.92,AU,2021-12-21 19:33:37
154,Nouadhibou,20.931,-17.0347,71.58,56,16,8.05,MR,2021-12-21 19:33:37
155,Vila Franca Do Campo,37.7167,-25.4333,67.19,91,100,19.75,PT,2021-12-21 19:33:38
156,Ussel,45.55,2.3167,33.08,77,10,1.36,FR,2021-12-21 19:33:38
157,Muzhi,65.3667,64.6667,-25.67,100,92,3.13,RU,2021-12-21 19:33:39
158,Beyneu,45.3167,55.2,38.01,93,22,16.82,KZ,2021-12-21 19:33:39
159,Palmer,42.1584,-72.3287,43.29,56,75,1.01,US,2021-12-21 19:31:27
160,Sandwick,60.0,-1.25,42.62,93,40,11.5,GB,2021-12-21 19:33:39
161,Kupang,-10.1667,123.5833,80.73,85,100,8.19,ID,2021-12-21 19:33:40
162,Tuatapere,-46.1333,167.6833,58.82,53,60,9.46,NZ,2021-12-21 19:33:40
163,Nome,64.5011,-165.4064,-0.9,100,98,3.74,US,2021-12-21 19:33:40
164,Marsaxlokk,35.8419,14.5431,55.08,87,0,4.61,MT,2021-12-21 19:33:35
165,Shingu,33.7333,135.9833,46.78,85,0,6.13,JP,2021-12-21 19:33:41
166,Hithadhoo,-0.6,73.0833,80.55,76,80,1.81,MV,2021-12-21 19:33:41
167,Vestmannaeyjar,63.4427,-20.2734,41.31,80,100,14.85,IS,2021-12-21 19:33:42
168,Jinan,36.6683,116.9972,28.26,49,0,1.77,CN,2021-12-21 19:33:42
169,Ratnagiri,16.9833,73.3,71.38,68,6,5.41,IN,2021-12-21 19:33:42
170,Qaanaaq,77.484,-69.3632,28.31,71,22,7.67,GL,2021-12-21 19:33:43
171,Avarua,-21.2078,-159.775,78.85,73,75,9.22,CK,2021-12-21 19:33:43
172,Puerto Ayora,-0.7393,-90.3518,82.36,83,75,8.63,EC,2021-12-21 19:33:44
173,Padang,-0.9492,100.3543,76.82,87,91,3.42,ID,2021-12-21 19:33:44
174,Burns Lake,54.2331,-125.7533,9.82,80,100,1.92,CA,2021-12-21 19:33:44
175,Machali,-34.1833,-70.6667,85.28,26,0,11.5,CL,2021-12-21 19:33:45
176,Luanda,-8.8368,13.2343,78.8,78,20,8.05,AO,2021-12-21 19:30:43
177,Huarmey,-10.0681,-78.1522,72.77,72,10,9.33,PE,2021-12-21 19:33:45
178,Urumqi,43.801,87.6005,7.75,85,25,2.24,CN,2021-12-21 19:33:46
179,Tarija,-21.5355,-64.7296,73.31,64,75,9.22,BO,2021-12-21 19:33:46
180,Wajir,1.7471,40.0573,78.44,77,97,7.78,KE,2021-12-21 19:34:46
181,Sorland,67.667,12.6934,31.86,64,12,16.2,NO,2021-12-21 19:34:47
182,Porto Santo,33.072,-16.3415,65.3,82,20,13.8,PT,2021-12-21 19:34:47
183,Clarksdale,34.2001,-90.5709,53.76,62,1,0.0,US,2021-12-21 19:32:29
184,Hofn,64.2539,-15.2082,31.75,69,38,8.99,IS,2021-12-21 19:34:48
185,Paamiut,61.994,-49.6678,36.09,87,100,28.54,GL,2021-12-21 19:34:48
186,Longyearbyen,78.2186,15.6401,17.44,79,75,8.05,SJ,2021-12-21 19:34:48
187,Itacare,-14.2775,-38.9967,80.49,88,100,5.32,BR,2021-12-21 19:34:49
188,Tigre,-34.426,-58.5796,89.2,50,0,16.11,AR,2021-12-21 19:34:49
189,Wajid,3.8093,43.2471,82.6,51,66,14.47,SO,2021-12-21 19:34:50
190,Pangnirtung,66.1451,-65.7125,14.0,92,90,8.05,CA,2021-12-21 19:34:50
