City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
218,Sarakhs,IR,36.23,broken clouds,36.5449,61.1577,مهمان سرای شرکت گاز
219,Bengkulu,ID,75.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
220,Pundaguitan,PH,81.23,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
221,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
222,Chateaubelair,VC,76.28,overcast clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
223,Cidreira,BR,71.73,scattered clouds,-30.1811,-50.2056,Hotel Castelo
224,Marquette,US,20.77,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
225,Yulara,AU,87.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
226,Hofn,IS,29.59,overcast clouds,64.2539,-15.2082,Hótel Höfn
227,West Plains,US,62.28,overcast clouds,36.7281,-91.8524,West Plains Motel
228,Borova,UA,22.33,clear sky,50.1763,30.1043,"Villa ""Stuhna"""
229,Otane,NZ,73.38,broken clouds,-39.8833,176.6333,Ludlow Farmstay
230,Saint George,US,50.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
231,Klyuchi,RU,20.08,light snow,52.2667,79.1667,Vesolaya Mayovka
233,Ferkessedougou,CI,78.39,broken clouds,9.6,-5.2,Hotel Chateau
234,Bandundu,CD,72.32,light rain,-3.3167,17.3667,Coja Color
235,Esperance,AU,67.84,clear sky,-33.8667,121.9,Hospitality Esperance
237,Hambantota,LK,70.14,clear sky,6.1241,81.1185,Bungalow 63
238,San Rafael,AR,86.81,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
239,Pozo Colorado,PY,86.29,few clouds,-23.4923,-58.7972,Hospedaje la Amistad
240,Atakpame,TG,76.03,clear sky,7.5333,1.1333,Hôtel sahélien
241,Umea,SE,4.93,clear sky,63.8284,20.2597,Hotel Avenue | ProfilHotels
242,Ojinaga,MX,78.57,clear sky,29.5667,-104.4167,Suites Las Palmas
243,Longyearbyen,SJ,17.44,clear sky,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
245,Zapolyarnyy,RU,20.48,light snow,69.4154,30.8136,Pechenga
246,Ontario,US,56.57,scattered clouds,34.0633,-117.6509,American Inn
247,Khani,GE,24.37,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
248,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
249,Campbeltown,GB,44.65,overcast clouds,55.4258,-5.6076,The Royal Hotel
250,Santa Ines,BR,75.0,overcast clouds,-3.6667,-45.38,Palace hotel
251,Vanimo,PG,84.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
253,Dillon,US,64.74,clear sky,34.4166,-79.3712,Dillon Express Inn
254,Laguna,US,48.92,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
255,Garwa,IN,54.64,broken clouds,24.1833,83.8167,A.PS.D Utsav Garden
256,Nome,US,24.87,broken clouds,64.5011,-165.4064,Dredge 7 Inn
258,Lompoc,US,56.41,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
259,Nikolsk,RU,14.49,broken clouds,53.7189,46.0712,Гостиница Центральная
260,Klaksvik,FO,40.12,overcast clouds,62.2266,-6.589,Airbnb rooms
261,Shelburne,CA,30.13,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
262,Chernivtsi,UA,22.19,overcast clouds,48.2915,25.9403,Bukovyna
263,Powell River,CA,23.0,broken clouds,49.8496,-124.5361,Rodmay Hotel
265,Saurimo,AO,65.07,moderate rain,-9.6608,20.3916,Hotel Kawissa Saurimo
267,Takoradi,GH,80.69,broken clouds,4.8845,-1.7554,Raybow International Hotel
269,Amarpur,IN,58.57,scattered clouds,25.0333,86.9,Amit kirana store
270,Maldonado,UY,69.22,clear sky,-34.6667,-54.9167,La Cimarrona
272,Maasim,PH,82.83,overcast clouds,5.8575,125.0061,Uyakiki Beach
273,Coxim,BR,78.04,scattered clouds,-18.5067,-54.76,Hotel Avenida
274,Inhambane,MZ,77.18,light rain,-23.865,35.3833,Oceano
275,Ejido,VE,68.47,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
276,Sorland,NO,30.6,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
277,Lengshuijiang,CN,26.35,light snow,27.6881,111.4294,Sheraton
278,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
279,Nemuro,JP,21.63,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
280,Casa Grande,US,63.43,broken clouds,32.8795,-111.7573,MainStay Suites Extended Stay Hotel Casa Grande
282,Grants Pass,US,37.85,few clouds,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
283,Palmerston North,NZ,74.5,overcast clouds,-40.35,175.6167,Distinction Coachman Hotel Palmerston North
284,Madang,PG,85.21,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
285,Nanortalik,GL,27.18,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
286,Dong Xoai,VN,71.42,few clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
287,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
288,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
290,Springville,US,32.05,light snow,40.1652,-111.6107,Best Western Mountain View Inn
291,Alvdal,NO,21.04,broken clouds,62.1077,10.6307,Taverna Alvdal
292,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
293,Berbera,SO,75.6,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
294,Jardim,BR,81.91,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
295,Vagur,FO,42.75,overcast clouds,61.4732,-6.8119,Budget Guesthouse Borgustova
296,Plainview,US,44.08,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
297,Talara,PE,68.43,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
298,Voznesenye,RU,8.71,overcast clouds,61.0106,35.4781,Gostinitsa
300,Shaowu,CN,36.12,overcast clouds,27.3409,117.4831,Yijie Express Hotel
303,Shingu,JP,38.91,clear sky,33.7333,135.9833,Shingu UI Hotel
304,Menongue,AO,67.21,overcast clouds,-14.6585,17.691,Ritz Lauca
305,Angoche,MZ,80.33,broken clouds,-16.2325,39.9086,Guest House HESADA
306,Tabuk,PH,67.77,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
307,Tuatapere,NZ,59.83,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
308,Tursunzoda,TJ,32.88,overcast clouds,38.5144,68.2333,Osoishgokhi Tabobati
309,Torbay,CA,31.39,light snow,47.6666,-52.7314,Gallows Cove
312,Varnamo,SE,22.08,broken clouds,57.186,14.04,Scandic
313,Severo-Kurilsk,RU,28.54,overcast clouds,50.6789,156.125,Kak Doma
314,Dicabisagan,PH,73.15,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
315,Vestmanna,FO,38.32,overcast clouds,62.1564,-7.1664,Vestmanna Camping
316,Xichang,CN,35.74,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
317,Grenfell,AU,76.32,clear sky,-33.9,148.1667,Grenfell Royal Hotel
318,Portland,US,35.78,light snow,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
319,Arona,ES,64.74,broken clouds,28.0996,-16.681,Paradise Court
320,Ciego De Avila,CU,72.97,broken clouds,21.84,-78.7619,Ciego de Ávila
321,Kenai,US,28.49,fog,60.5544,-151.2583,Aspen Extended Stay Suites
322,Luangwa,ZM,74.12,overcast clouds,-15.6167,30.4167,Gerasimos Safari Lodge
323,Jiaozuo,CN,21.56,clear sky,35.2397,113.2331,Days Hotel and Suites Jiaozuo
324,Isla Vista,US,57.61,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
325,Trairi,BR,78.55,overcast clouds,-3.2778,-39.2689,janelas do mar
326,Pambujan,PH,77.41,overcast clouds,12.5642,124.9276,Casa Alberto
327,Antsohihy,MG,75.34,light rain,-14.8796,47.9875,Hotel de Ville
328,Marang,MY,75.11,broken clouds,5.2056,103.2059,DBarakah Homestay
329,Belmonte,BR,73.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
331,Vicuna,CL,79.77,scattered clouds,-30.0319,-70.7081,Los Mosaicos
332,Puerto Del Rosario,ES,67.75,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
333,Ahuimanu,US,80.31,light rain,21.4447,-157.8378,Paradise Bay Resort
335,Asau,RO,27.75,light snow,46.4333,26.4,Casa Mika Ciobanus
337,Souillac,MU,75.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
339,Nabire,ID,79.21,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
341,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
342,Puerto Suarez,BO,79.66,overcast clouds,-18.95,-57.8,Hotel casa real
343,Faanui,PF,80.78,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
344,San Ramon,US,49.35,light rain,37.7799,-121.978,San Ramon Marriott
345,Rajshahi,BD,62.33,few clouds,24.3667,88.6,Anjum Hotel International
346,Tutoia,BR,84.18,broken clouds,-2.7619,-42.2744,Pousada Guará's
347,Ushtobe,KZ,30.74,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
348,Guerrero Negro,MX,62.65,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
349,Muriwai Beach,NZ,77.43,overcast clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
350,Tongliao,CN,1.35,clear sky,43.6125,122.2653,Meirujia Hotel
351,Norfolk,US,37.31,overcast clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
353,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
356,Hauterive,FR,43.56,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
357,Reporoa,NZ,68.34,light rain,-38.4333,176.35,Reporoa
358,Asheboro,US,61.07,clear sky,35.7079,-79.8136,Hampton Inn Asheboro
359,Ambatolampy,MG,60.57,overcast clouds,-19.3833,47.4167,Au Rendez Vous Des P?Ÿƒ¦cheurs
360,Ukiah,US,46.63,overcast clouds,39.1502,-123.2078,Hampton Inn Ukiah
361,Te Anau,NZ,63.79,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
363,New Glasgow,CA,33.12,overcast clouds,45.5834,-62.6486,"Holiday Inn Express Stellarton-New Glasgow, an IHG Hotel"
364,Owando,CG,72.48,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
365,Kurchum,KZ,9.5,overcast clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
366,Constitucion,CL,60.73,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
367,Bousse,BF,74.77,broken clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
368,Lyantonde,UG,62.76,light rain,-0.4031,31.1572,Pals Panache Splendors
369,Jacksonville,US,69.04,clear sky,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
370,Kumla,SE,28.67,mist,59.1277,15.1434,Kumla Hotel
371,Barabinsk,RU,17.8,light snow,55.3571,78.357,Gostinichnyy Kompleks Noy
372,Boma,GH,73.29,clear sky,7.0805,-2.1697,Obaatanpa Hotel
373,Diffa,NE,67.59,clear sky,13.3154,12.6113,ProDAF/Diffa
374,Ranong,TH,78.73,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
