City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Ciego De Avila,CU,21.84,-78.7619,72.97,76,62,11.07,broken clouds
321,Kenai,US,60.5544,-151.2583,28.49,96,90,0.0,fog
322,Luangwa,ZM,-15.6167,30.4167,74.12,88,96,2.28,overcast clouds
323,Jiaozuo,CN,35.2397,113.2331,21.56,52,0,5.17,clear sky
324,Isla Vista,US,34.4133,-119.861,57.61,62,1,16.11,clear sky
325,Trairi,BR,-3.2778,-39.2689,78.55,85,100,6.44,overcast clouds
326,Pambujan,PH,12.5642,124.9276,77.41,86,91,15.64,overcast clouds
327,Antsohihy,MG,-14.8796,47.9875,75.34,96,100,3.4,light rain
328,Marang,MY,5.2056,103.2059,75.11,88,56,4.79,broken clouds
329,Belmonte,BR,-15.8631,-38.8828,73.9,91,67,7.36,broken clouds
330,Puro,PH,12.4841,123.3827,78.13,83,94,16.4,overcast clouds
331,Vicuna,CL,-30.0319,-70.7081,79.77,53,31,4.56,scattered clouds
332,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,88,26,9.22,scattered clouds
333,Ahuimanu,US,21.4447,-157.8378,80.31,69,90,12.66,light rain
334,Araouane,ML,18.9048,-3.5265,66.67,17,18,9.82,few clouds
335,Asau,RO,46.4333,26.4,27.75,99,100,2.55,light snow
336,Hovd,MN,48.0056,91.6419,-3.05,73,92,2.59,overcast clouds
337,Souillac,MU,-20.5167,57.5167,75.36,83,36,8.77,scattered clouds
338,Mago,RU,53.2514,140.1822,-11.09,93,95,5.12,overcast clouds
339,Nabire,ID,-3.3667,135.4833,79.21,87,100,1.63,overcast clouds
340,Kurkino,RU,53.4257,38.6582,6.85,93,32,8.95,scattered clouds
341,Porto Novo,BJ,6.4965,2.6036,82.22,84,32,5.77,scattered clouds
342,Puerto Suarez,BO,-18.95,-57.8,79.66,58,93,1.03,overcast clouds
343,Faanui,PF,-16.4833,-151.75,80.78,69,52,9.4,broken clouds
344,San Ramon,US,37.7799,-121.978,49.35,90,90,1.01,light rain
345,Rajshahi,BD,24.3667,88.6,62.33,60,20,4.47,few clouds
346,Tutoia,BR,-2.7619,-42.2744,84.18,79,68,8.63,broken clouds
